FECHA,POSITIVOS,POSITIVOS_LI,POSITIVOS_LS
2021-01-21,204,NA,NA
2021-01-22,206,NA,NA
2021-01-23,195,NA,NA
2021-01-24,196,NA,NA
2021-01-25,168,NA,NA
2021-01-26,97,NA,NA
2021-01-27,171,NA,NA
2021-01-28,128,NA,NA
2021-01-29,201,NA,NA
2021-01-30,151,NA,NA
2021-01-31,187,NA,NA
2021-02-01,122,NA,NA
2021-02-02,79,NA,NA
2021-02-03,139,NA,NA
2021-02-04,145,NA,NA
2021-02-05,113,NA,NA
2021-02-06,136,NA,NA
2021-02-07,86,NA,NA
2021-02-08,68,NA,NA
2021-02-09,58,NA,NA
2021-02-10,98,NA,NA
2021-02-11,95,NA,NA
2021-02-12,107,NA,NA
2021-02-13,60,NA,NA
2021-02-14,83,NA,NA
2021-02-15,13,NA,NA
2021-02-16,93,NA,NA
2021-02-17,100,NA,NA
2021-02-18,70,NA,NA
2021-02-19,52,NA,NA
2021-02-20,74,NA,NA
2021-02-21,75,NA,NA
2021-02-22,48,NA,NA
2021-02-23,47,NA,NA
2021-02-24,63,NA,NA
2021-02-25,56,NA,NA
2021-02-26,24493.085993023666,24427.378263250394,24558.793722796938
2021-02-27,24555.032784199993,24446.510076149843,24663.555492250143
2021-02-28,24617.81010553871,24465.896204013447,24769.72400706397
2021-03-01,24681.388753353902,24484.315666098108,24878.461840609696
2021-03-02,24745.740550840223,24501.60612095898,24989.874980721466
2021-03-03,24810.83831196496,24517.843051463755,25103.833572466163
2021-03-04,24876.65580662983,24533.163932494837,25220.147680764825
2021-03-05,24943.16772705771,24547.716811254846,25338.618642860572
2021-03-06,25010.34965536134,24561.643428441865,25459.055882280816
2021-03-07,25078.178032252395,24575.07384512585,25581.28221937894
2021-03-08,25146.630126850825,24588.125283133937,25705.134970567713
2021-03-09,25215.68400755577,24600.902552050982,25830.46546306056
2021-03-10,25285.318513940754,24613.499037884398,25957.13798999711
2021-03-11,25355.513229637105,24625.99783664386,26085.02862263035
