FECHA,POSITIVOS,POSITIVOS_LI,POSITIVOS_LS
2020-08-15,60,NA,NA
2020-08-16,48,NA,NA
2020-08-17,19,NA,NA
2020-08-18,55,NA,NA
2020-08-19,49,NA,NA
2020-08-20,77,NA,NA
2020-08-21,95,NA,NA
2020-08-22,74,NA,NA
2020-08-23,37,NA,NA
2020-08-24,54,NA,NA
2020-08-25,86,NA,NA
2020-08-26,91,NA,NA
2020-08-27,97,NA,NA
2020-08-28,126,NA,NA
2020-08-29,113,NA,NA
2020-08-30,67,NA,NA
2020-08-31,65,NA,NA
2020-09-01,116,NA,NA
2020-09-02,105,NA,NA
2020-09-03,153,NA,NA
2020-09-04,121,NA,NA
2020-09-05,116,NA,NA
2020-09-06,60,NA,NA
2020-09-07,83,NA,NA
2020-09-08,111,NA,NA
2020-09-09,175,NA,NA
2020-09-10,154,NA,NA
2020-09-11,118,NA,NA
2020-09-12,123,NA,NA
2020-09-13,112,NA,NA
2020-09-14,78,NA,NA
2020-09-15,85,NA,NA
2020-09-16,123,NA,NA
2020-09-17,55,NA,NA
2020-09-18,128,NA,NA
2020-09-19,65,NA,NA
2020-09-20,67,NA,NA
2020-09-21,55,NA,NA
2020-09-22,70,NA,NA
2020-09-23,68,NA,NA
2020-09-24,71,NA,NA
2020-09-25,52,NA,NA
2020-09-26,55,NA,NA
2020-09-27,25,NA,NA
2020-09-28,75,NA,NA
2020-09-29,33,NA,NA
2020-09-30,47,NA,NA
2020-10-01,46,NA,NA
2020-10-02,66,NA,NA
2020-10-03,32,NA,NA
2020-10-04,61,NA,NA
2020-10-05,41,NA,NA
2020-10-06,47,NA,NA
2020-10-07,39,NA,NA
2020-10-08,31,NA,NA
2020-10-09,69,NA,NA
2020-10-10,70,NA,NA
2020-10-11,35,NA,NA
2020-10-12,45,NA,NA
2020-10-13,73,NA,NA
2020-10-14,61,NA,NA
2020-10-15,85,NA,NA
2020-10-16,102,NA,NA
2020-10-17,155,NA,NA
2020-10-18,48,NA,NA
2020-10-19,93,NA,NA
2020-10-20,159,NA,NA
2020-10-21,214,NA,NA
2020-10-22,118,NA,NA
2020-10-23,185,NA,NA
2020-10-24,174,NA,NA
2020-10-25,164,NA,NA
2020-10-26,135,NA,NA
2020-10-27,173,NA,NA
2020-10-28,201,NA,NA
2020-10-29,182,NA,NA
2020-10-30,168,NA,NA
2020-10-31,195,NA,NA
2020-11-01,146,NA,NA
2020-11-02,216,NA,NA
2020-11-03,237,NA,NA
2020-11-04,157,NA,NA
2020-11-05,310,NA,NA
2020-11-06,227,NA,NA
2020-11-07,180,NA,NA
2020-11-08,236,NA,NA
2020-11-09,226,NA,NA
2020-11-10,256,NA,NA
2020-11-11,261,NA,NA
2020-11-12,227,NA,NA
2020-11-13,209,NA,NA
2020-11-14,193,NA,NA
2020-11-15,130,NA,NA
2020-11-16,241,NA,NA
2020-11-17,279,NA,NA
2020-11-18,241,NA,NA
2020-11-19,169,NA,NA
2020-11-20,170,NA,NA
2020-11-21,151,NA,NA
2020-11-22,84,NA,NA
2020-11-23,135,NA,NA
2020-11-24,130,NA,NA
2020-11-25,121,NA,NA
2020-11-26,105,NA,NA
2020-11-27,135,NA,NA
2020-11-28,87,NA,NA
2020-11-29,89,NA,NA
2020-11-30,105,NA,NA
2020-12-01,203,NA,NA
2020-12-02,120,NA,NA
2020-12-03,158,NA,NA
2020-12-04,135,NA,NA
2020-12-05,129,NA,NA
2020-12-06,58,NA,NA
2020-12-07,79,NA,NA
2020-12-08,88,NA,NA
2020-12-09,45,NA,NA
2020-12-10,110,NA,NA
2020-12-11,77,NA,NA
2020-12-12,55,NA,NA
2020-12-13,81,NA,NA
2020-12-14,74,NA,NA
2020-12-15,86,NA,NA
2020-12-16,82,NA,NA
2020-12-17,74,NA,NA
2020-12-18,73,NA,NA
2020-12-19,32,NA,NA
2020-12-20,51,NA,NA
2020-12-21,62,NA,NA
2020-12-22,62,NA,NA
2020-12-23,81,NA,NA
2020-12-24,59,NA,NA
2020-12-25,67,NA,NA
2020-12-26,65,NA,NA
2020-12-27,73,NA,NA
2020-12-28,72,NA,NA
2020-12-29,115,NA,NA
2020-12-30,113,NA,NA
2020-12-31,42,NA,NA
2021-01-01,148,NA,NA
2021-01-02,107,NA,NA
2021-01-03,87,NA,NA
2021-01-04,127,NA,NA
2021-01-05,133,NA,NA
2021-01-06,141,NA,NA
2021-01-07,149,NA,NA
2021-01-08,114,NA,NA
2021-01-09,149,NA,NA
2021-01-10,118,NA,NA
2021-01-11,209,NA,NA
2021-01-12,130,NA,NA
2021-01-13,185,NA,NA
2021-01-14,140,NA,NA
2021-01-15,186,NA,NA
2021-01-16,149,NA,NA
2021-01-17,125,NA,NA
2021-01-18,119,NA,NA
2021-01-19,207,NA,NA
2021-01-20,208,NA,NA
2021-01-21,199,NA,NA
2021-01-22,201,NA,NA
2021-01-23,168,NA,NA
2021-01-24,97,NA,NA
2021-01-25,173,NA,NA
2021-01-26,133,NA,NA
2021-01-27,203,NA,NA
2021-01-28,156,NA,NA
2021-01-29,192,NA,NA
2021-01-30,122,NA,NA
2021-01-31,79,NA,NA
2021-02-01,143,NA,NA
2021-02-02,146,NA,NA
2021-02-03,121,NA,NA
2021-02-04,138,NA,NA
2021-02-05,98,NA,NA
2021-02-06,68,NA,NA
2021-02-07,58,NA,NA
2021-02-08,102,NA,NA
2021-02-09,106,NA,NA
2021-02-10,108,NA,NA
2021-02-11,65,NA,NA
2021-02-12,83,NA,NA
2021-02-13,13,NA,NA
2021-02-14,93,NA,NA
2021-02-15,100,NA,NA
2021-02-16,70,NA,NA
2021-02-17,52,NA,NA
2021-02-18,74,NA,NA
2021-02-19,75,NA,NA
2021-02-20,48,NA,NA
2021-02-21,47,NA,NA
2021-02-22,63,NA,NA
2021-02-23,56,NA,NA
2021-02-24,58,NA,NA
2021-02-25,44,NA,NA
2021-02-26,55,NA,NA
2021-02-27,31,NA,NA
2021-02-28,38,NA,NA
2021-03-01,40,NA,NA
2021-03-02,48,NA,NA
2021-03-03,37,NA,NA
2021-03-04,43,NA,NA
2021-03-05,26,NA,NA
2021-03-06,39,NA,NA
2021-03-07,44,NA,NA
2021-03-08,27,NA,NA
2021-03-09,48,NA,NA
2021-03-10,44,NA,NA
2021-03-11,39,NA,NA
2021-03-12,45,NA,NA
2021-03-13,46,NA,NA
2021-03-14,26,NA,NA
2021-03-15,54,NA,NA
2021-03-16,42,NA,NA
2021-03-17,48,NA,NA
2021-03-18,37,NA,NA
2021-03-19,38,NA,NA
2021-03-20,53,NA,NA
2021-03-21,16,NA,NA
2021-03-22,52,NA,NA
2021-03-23,50,NA,NA
2021-03-24,50,NA,NA
2021-03-25,46.526966646222434,8.615004997595179,84.43892829484969
2021-03-26,47.29091298229506,2.9043704868437956,91.67745547774632
2021-03-27,48.11166492315546,-3.473503829202592,99.69683367551352
2021-03-28,48.99232267246931,-10.501538885824537,108.48618423076314
2021-03-29,49.93571052868482,-18.169140032867162,118.0405610902368
2021-03-30,50.944401098173685,-26.47017344196749,128.35897563831486
2021-03-31,52.020738373232206,-35.401517628946024,139.44299437541042
2021-04-01,53.166859292750686,-44.962062561927354,151.29578114742873
2021-04-02,54.3847136111136,-55.15202728728252,163.92145450950972
2021-04-03,55.67608203430564,-65.972496351628,177.32466042023927
2021-04-04,57.04259266442348,-77.42510464974946,191.5102899785964
2021-04-05,58.48573584157069,-89.51182278267558,206.48329446581695
2021-04-06,60.00687749720524,-102.23481070820992,222.2485657026204
2021-04-07,61.60727114350186,-115.59631805485574,238.81086034185947
